1;18.12.2019;4673;1924;751
2;13.07.2019;2996;941;3205
3;13.11.2019;2236;1088;3850
4;09.09.2019;1821;1213;3856
5;01.03.2020;1788;557;1179
6;24.08.2019;116;1009;3602
7;25.10.2019;4390;779;49
8;17.08.2019;3995;849;3250
9;04.08.2019;4426;2444;1997
10;25.07.2019;4473;609;1897
11;08.04.2019;812;1223;4255
12;05.02.2020;3758;1785;154
13;26.12.2019;2110;1605;2527
14;12.10.2019;3861;1349;2340
15;26.01.2020;3327;2006;1737
16;13.03.2020;2158;1927;324
17;13.12.2019;886;1647;1077
18;27.02.2020;1412;2023;1769
19;07.11.2019;41;2242;4405
20;13.09.2019;2137;2379;2313
21;22.11.2019;2795;913;4259
22;09.10.2019;1675;2313;2737
23;20.02.2020;4150;2218;2614
24;28.03.2020;4757;2314;928
25;21.12.2019;3379;2244;1249
26;10.08.2019;4302;1421;1384
27;11.05.2019;1165;2233;3549
28;26.11.2019;3476;1514;859
29;18.06.2019;1317;1309;1049
30;16.06.2019;4753;1188;123
31;20.08.2019;1085;1481;2833
32;16.02.2020;4228;1851;365
33;13.03.2020;2104;2346;847
34;18.07.2019;2131;1162;4824
35;05.02.2020;52;1611;440
36;21.11.2019;138;2130;4437
37;07.08.2019;807;682;343
38;15.03.2020;346;1960;2673
39;13.01.2020;4350;1384;1718
40;05.02.2020;741;2454;3544
41;07.08.2019;614;1563;2283
42;27.01.2020;2401;1090;4997
43;05.12.2019;2620;1816;1235
44;18.07.2019;3369;779;2889
45;13.01.2020;1380;905;1877
46;29.09.2019;2143;1367;1160
47;08.11.2019;4432;2051;470
48;29.06.2019;4332;2378;1042
49;02.09.2019;3623;508;543
50;30.03.2019;3149;1654;2386
51;02.10.2019;3857;669;3308
52;22.04.2019;41;1630;4351
53;30.04.2019;2328;712;3949
54;22.05.2019;2629;676;4562
55;02.07.2019;1625;1185;3865
56;20.06.2019;2757;1503;4006
57;25.02.2020;171;512;4424
58;17.09.2019;1024;1780;1354
59;21.11.2019;2193;1833;2471
60;11.01.2020;205;926;46
61;11.03.2020;3500;1226;4938
62;17.10.2019;4055;571;2905
63;24.08.2019;4338;620;1202
64;09.01.2020;4301;1762;2239
65;17.06.2019;4569;1011;3714
66;05.09.2019;4805;2251;2707
67;22.08.2019;309;2481;4064
68;09.12.2019;2317;742;3897
69;24.11.2019;3392;1981;4244
70;16.08.2019;731;1707;4758
71;23.10.2019;359;1111;4198
72;06.04.2019;4114;963;3790
73;23.10.2019;4765;1956;131
74;07.07.2019;2050;1907;4486
75;19.03.2020;1747;1696;3171
76;20.10.2019;1334;2441;1761
77;23.10.2019;2690;939;2863
78;31.10.2019;3260;1844;551
79;27.09.2019;409;1281;4006
80;07.08.2019;4758;826;2848
81;09.02.2020;314;1365;4274
82;13.03.2020;2947;1487;311
83;30.06.2019;1747;699;2866
84;29.04.2019;3026;657;4517
85;10.06.2019;986;1838;4276
86;08.11.2019;3759;1016;111
87;31.01.2020;822;795;3160
88;31.01.2020;3092;1403;4257
89;30.07.2019;3032;1207;3681
90;31.10.2019;2027;1101;2394
91;23.01.2020;4757;1661;338
92;06.07.2019;1388;687;4455
93;28.06.2019;1507;2375;1223
94;16.08.2019;3753;1599;3783
95;01.08.2019;586;1739;2281
96;24.11.2019;1256;1693;3290
97;25.06.2019;27;2105;4618
98;28.04.2019;3171;1187;1913
99;20.05.2019;2397;1620;4473
100;06.11.2019;111;966;4839
101;12.04.2019;2356;1992;2540
102;03.05.2019;3315;971;4759
